aaghhneghlliqe-	verb root	to be stubborn	Tawaten ataasimi aghneghmi Kiiluuq aaghhneghlliqumalghii esnamun samavek elqwaaghyaghnaluni.’ Then one day Kiiluuq being stubborn went down to the shore to gather seaweed.’ (KIILUUQ 3)
aaghhneghlluk	noun root	one who is hard to convince; stubborn person; skeptical person	No information given.
aaghhutagh-	verb root	to move by crawling over thin ice	piyaalghii iikusati aaghhutameng aghviimalghii ‘the man who was hunting by foot crossed by drawling  over the thing ice when the cake of ice he was on broke off from the main ice
aaghhwe-	verb root	to crawl	"aaghhuq or aaghhwuq ‘he crawled’; aaghhwaa ‘he crawled over it’ / aaghhwaaghtuq ‘he keeps crawling’; Repall atanga aaghhweregaghmeng aanumalghii, llangaqa pingayuneng ighukelghii. ‘The father went out crawling, looking like he had three legs.’ (UNGIPAGHAGH. 72)"
aaghlu	noun root	fireball of some sort coming down from mountains (perhaps meteor or comet)	traditionally thought to be connected with a creature dwelling in the rocks behind Gambell; the color is said to be prophetic
aaghqaghte-1	verb root	to take a route different from usual; to detour; to avoid; to evade; to put rope around or across something	aaghqaghtuq ‘he went a different way’; aaghqaghtaa ‘he didn’t stop at it’ / taagagun aaghqaghsimaaq ‘he went by the far side instead’; aaghqaghtaa tapghaq ‘he put the rope around that part’
aaghqaghte-2	verb root	to urge; to encourage	aaghqaghtuq ‘he went a different way’; aaghqaghtaa ‘he didn’t stop at it’ / taagagun aaghqaghsimaaq ‘he went by the far side instead’; aaghqaghtaa tapghaq ‘he put the rope around that part’
aaghqutaate-	verb root	to detour; to decide for someone without giving him a say	aaghqutaatestegpenasi seghletun pinaqelghiinun ‘don't let them tell you what to do when they are doing wrong’
aaghqutaq	noun root	a certain ball game	Chukotkan; called kalleghta by most people on St. Lawrence Island
aaghqute-	verb root	to comply with the wishes of another	aaghqutaa ‘he did as she wanted’ /
aaghsi	noun root	thong holding shank (giimaq) to harpoon shaft	#NAME?
aaghte-1	verb root	to move a little; to budge; to change one's mind; for there to be an earthquake	No information given.
aaghte-2	verb root	to convince	aaghtaa ‘he convinced her’/
aaghtiiraagh-	verb root	to argue	No information given.
aaghw-	postural root	upside down	aaghwtuq ‘it turned upside down’; aaghwtaa ‘he turned it upside down’; aaghwngaaq ‘it is upside down’; qayuutat ayumiq aaghwtaaghtestesnanighaqiit ‘long ago they discouraged people from leaving wooden platters upside down’ (probably a superstition)
aaghwqe-	verb root	to get bloody	aaghwquq ‘he got bloody’; aaghwqaa ‘he got it bloody’ /
aaghwtaq	noun root	tent with a arched roof; wooden house type with arched roof covered with hide	"Chukotkan (R, V&E)"
aagna	particle	that one over there; that one going away	
aagneghaghte-	verb root	to split at the crotch	aagneghaghtuk ‘they2 (pants) split at the crotch’; aagneghaghtaak ‘he split them2 at the crotch’ /
aagneghtu-	verb root	to have long steps; to have a long stride	No information given.
aagneq	noun root	crotch of pants; one pace; one step	"used in the dual, aagneghek, for one crotch"
aagra	noun root	"insulated inner room of the traditional dome-shaped house, the mangteghapik (q.v.)"	"Aagram ilungi puqlaghllagulghiit, aghnat ilungani raarwiighesnaghluteng ayuqelghiit sungighluteng, tangyeghusighluteng, tukughusighluteng. ‘Because inside the inner room women are quite warm they wear only underwear plus beads, bracelets and anklets.’ (SIVUQ. NANGAGH. 1:33); aagra is termed polog ‘bed canopy’ in Russian"
aagralghun	noun root	"guyline at corner of the aagra, the insulated inner room of traditional dome-shaped house"	No information given.
aagriin	noun root	"ridgepole supporting the aagra, the insulatedinner room of traditional dome-shaped house"	No information given.
aagtagh-	verb root	to shoot at even though from a distance	neghsaq nuulghii aatak aagtaghyaghaqa ‘I tried shooting at the seal even though it was far away’
aagte-1	verb root	to prolong one's action	= aageste-
aagte-2	verb root	to stumble; to trip	= naagte-
aagte-3	verb root	to keep something secret; to let something pass without mentioning it	No information given.
aagute-	verb root	to bump into something; to make a side trip for (it)	"aagutuq ‘he bumped into something’; aagutaa ‘he bumped into it’, ‘he made a side trip for it’ /"
aagyugneq	noun root	persistent person	aagyugneghutmineng qepghaqanguq ‘he landed himself a job due to his being a persistent person’
aagyugniqe-	verb root	to be stubborn or persistent	No information given.
aagyugteste-	verb root	to make (him) stubborn; to provoke	ugumiyugsaghluku milughmilghii aagyugtestaa ‘he provoked him so he continued to throw rocks’
aagyugutke-	verb root	to pick on	aagyugutkaa ‘he picked on him’ / alingtalghii aagyugutkaat alingseghaghaqluku ‘they picked on the person who is easily frightened by trying to scare him’
aahaaleketiiq	noun root	a game involving coiled lines drawn on the ground which one follows from the outside inward as a particular song is sung	No information given.
aahaangwliq	noun root	oldsquaw duck (Clangula hyemalis); the cry of the oldsquaw	"the true name of the oldsquaw is said to be kangghwaak, while the present word is a sort of nickname based on the cry of the oldsquaw"
aakaq*	noun root	older sister of female	No information given.
aakw	noun root	blood	"aawa ‘his blood’, aakwa ‘my blood’; aawuuq ‘it is blood’; see also aaw- ‘to bleed’"
aakwrak	noun root	small spot or streak of blood	No information given.
aalghaq	noun root	another family in the same clan; the other of a pair of boats cooperating in a hunt; hunting partner; second wife	No information given.
Aallgha aghneq	proper noun	Monday	the name comes from Monday being the second day of the week
aallgutaq	noun root	broom; besom; wing of bird used as a broom	Chukotkan (R); may be used in the plural for a single broom
aallneq	noun root	ember; soot with grease from an oil lamp	No information given.
aallngunaan	noun root	without a partner	irregular subordinative of aallghite- (rather than aallghinaan or aallghunaan)
aalma	noun root	block of snow to be used in a heated house	perhaps to cool the house (?)
aalqullghiik	noun root	pair; couple; person and companion	No information given.
aam	particle	"hesitation sound like English ""aah"" or ""um"""	
aamak	noun root	a kind of berry	exact identification undetermined
aamna	particle	that one over there; the one across the sea; that one on the other side of something; that one over the mountains; that one in the other room	
aamqun	noun root	welt put in between the boot sole and the upper on a skin-boot	Aamqutnguut nateghqamllu amiiramllu akulanganilnguut …. ‘There was a welt [put] between the sole and upper [of the boot] ….’ (SIVUQ. NANGAGH. 1:114)
aamta	particle	as we know from our experience; as we well understand	aamta ellngitlu aghneghmi amighinaqaqeftut whangkutestun ‘they are putting a skin on their boat today just as we are’; aamta ellngitlu seghleliightut taawa ‘oh, they are grieving greatly (a feeling we understand all too well)’; Mekelghiighuluteng, apangiighhaghputlu aagna, apangiighhaghputlu aamta entaqun seghleghllugumayaghtuq.  ‘Being boys, our little grandfather too, that one, our little grandfather also, as we know maybe he would try to be bad (be mischievous).’ (SIVUQ. NANGAGH. 2:24)"
aamtaam	particle	if that can't be; if that isn't so; if that is so; that being the case	tawani tagilghaaten utaqanaaghamken taawanginaq enkaam aamtaam pipagningiskuvek ungipaannakevnga kitukun ‘come at that time and I'll wait for you, but if you can't, let me know through someone’; tagilghaaten, aamtaam wiin piyunghilkuvek taginghisaghngaaghpek ‘do come over, but if you don't want to, then don't’; taginghisaghngaaghpek aamtaam tagiyukuvek tagilghaaten ‘you don't have to come, but if you want to come, then come’; Aamtaam eltughaanka pillgitngwaaghtut. ‘That being so, my grandchildren treasure the things they have.’ (Sivuq. Nangagh. 3:94); Taawanginaq whanganginanghitunga, anengalguunga. Aamtaam ighlekegkaanganga ugiighnaanghitunga. Aamtaam aangqanganga ugiighllequnga. ‘It’s not only me, I have an older brother. That being the case, if he doesn’t let me I won’t marry you. That being the case, if he does agree I will marry you.’ (UNGIPAGHAGH. 20)"
aamtawha	particle	maybe; probably; trying fruitlessly	aamtawha kiigunneghatni quugmeng suyvaghtuq imawha uksungani naangut ‘he would try to gather enough wood during the summer but would run out in the winter’
aamtayaghhaq	particle	how well we know	
aane-	verb root	to go out(side)	aanuq ‘he went out’; aanaa ‘he went out of it or went out through it / aanutaa he took it out’
aanelgun	noun root	littermate; one born at the same time; a person's contemporary	No information given.
aanesqe-	verb root	to drive out; to expel; to force somebody to leave	Chukotkan (R)
aanestaghagh-	verb root	to press or squeeze out; to put or thrust out	Chukotkan (R)
aangaayugte-	verb root	to act as if superior to others; to put on airs; to act conceited	No information given.
aange-	verb root	to be big; to be large	aanguq ‘it is big’
aangeghllak	noun root	big thing; large thing	No information given.
aanghuute-	verb root	to spark as from friction; to make sparks	aanghuutuq ‘it made sparks’ / Uyghagami qamiyegka aanghuutuk igleghsama.’ My sled made sparks as I was going over the rocks.’ (SLI JR. DICT. 5)
aangqagh-	verb root	to play ball	No information given.
Aangqaghvik	proper noun	June; July	No information given.
aangqanneq	noun root	traditional ball game	Chukotkan (V&E)
aangqaq	noun root	ball	No information given.
"aangqasiigh-, aangqasi-"	verb root	"to get ready to throw a ball; to ""wind up"""	No information given.
aangqengwaaq	noun root	small rattle	Chukotkan (R)
aangwaagh-	verb root	"to be rather big,  big enough"	Chukotkan (R)
aangwunani	noun root	"(he, she or it) being bloodless"	No information given.
aanighte-	verb root	to concentrate thought and action on what one is doing	aanightuq ‘he is concentrating on what he is doing’ / aanighutaa ‘he is concentrating on it’; cf. anighte-
aanleghaate-	verb root	to leave a building; to rise to the surface	Chukotkan (R)
aanleghagh-	verb root	to seep out; to flow out	aanleghaghtuq ‘it seeped out’ / Kagimkaq qantamineng aanleghaghtuq reghilleghqun. ‘Sugar is leaking out of the its container through a hole.’ (SLI JR. DICT. 5)
aanngerquq	noun root	ankle bone	Chukotkan;  = angangarquq
aanqaghneq	noun root	bulge; protrusion	No information given.
aanqaghreki	noun root	the number three (in a counting or finger naming jingle for children)	"cf. aangqaq; the entire jingle is: aatati, pututati, aanqaghreki, tekiina, kumlu, aasi, taawra, qilughru, milughru, qughru 'one, two, three, four, five, six, seven, eight, nine, ten'"
aanqaghte-	verb root	to rush out; to protrude; to bulge	"aanqaghtuq ‘he rushed out’, ‘it protruded’ /"
aanqaghtivike-	verb root	to hit accidentally as with a stone from a sling	Chukotkan (R)
aanqulleq	noun root	manure	Chukotkan (R)
aanqutagh-	verb root	to lead singing	No information given.
aanqute-	verb root	to start singing or speaking	"aanqutaa ‘he began (to say, sing) i’t / aanqutiiq ‘he began to sing’; yugem aanqutisaghaanga kaallunga ‘the man began to say something as he reached me’; Ellngan quunpeng aanqutaqii atuutet atulghiini. ‘He always starts the songs for the singers.’ (SLI JR. DICT. 6); cf. aane-"
aantaq	noun root	midden; dump	"may be used in the plural, aantat, for one midden"
aante-	verb root	to to take out; to bring out; to put out; to give birth to	aantaa ‘he brought it out’ / aantiiq ‘he took something out (particularly a commode for dumping)’; pegnem aantaa ighneni ‘she had a difficult time giving birth to her son’
aanvik	noun root	outlet; exit	No information given.
aanyaghagh-	verb root	to go out early	No information given.
aanyaghaq1	noun root	"first one out; first-born child; man who goes outside the first (in the morning); first letter of word, initial"	No information given.
aanyaghaq2	noun root	exit; the way out; outlet	"also used in the dual, aanyaghak, for one exit or outlet; qaltak aanyaghametuk ‘the bucket is by the exit; kiiwem aanyaghakek uusqaghtuk ‘the water is deep around the outlet of the river’"
aanziigh-	verb root	to burp; to belch	"aanziightuq ‘he burped’; Aanziighllagyalghiimi sayalghiimi, mighyaghllagyalghiimi taghnughhaam akileghteghllagluku, qiyateghllaget. ‘When it (the creature) belched, doubled over, and threw up violently, the children tumbled out from it crying loudly.’ (SIVUQ. NANGAGH. 3:174)"
aanziiq	noun root	a burp; a belch	No information given.
aapghun	noun root	object which is to be sacrificed; prediction	Chukotkan (R)
aapte-	verb root	to ask	aaptuq ‘he asked’; aaptaa ‘he asked her’ /
aapute-	verb root	to ask permission; to ask concerning someone or something	"aaputuq ‘he asked for permission’; aaputaa ‘he asked her for permission’; Ungazighmiit aaputaqut ellmengllu Arctic Ocean-mun pinaluteng. ‘The Siberians would ask permission (to join), wanting to go to the Arctic Ocean.’ (SIVUQ. NANGAGH. 3:118)"
aaqun	particle	almost	yuuk sikugni piyugluni aaqun meghquutkaaguq ‘a man walking on the ice practically fell into the water’; Taana ivenrumeng kaatevzighaghput, aaqun kaasimaaghput iitek. ‘We almost reached that one with the outboarrd motor; almost, we got to it, indeed.’ (SIVUQ. NANGAGH. 2:34)"
aaqunqun	particle	try it anyway; dare	
aarragh-	verb root	to dress in fancy clothes	aarraghtuq ‘he dressed up’; aarraghaa ‘he dressed her up’ ;  Elngaatall siivanlleq tamaana aarraatesluku. ‘They brought the elder(s) there all dressed up.’ (SIVUQ. NANGAGH. 2:210); Aarraatkaq igaqraghllagmeng tawaten pinighrakegtepiglluku ulimalluteng. ‘everyone got all dressed up in clothing which they made as fancy as possible.’ (SIVUQ. NANGAGH. 3:86)
Aasa	proper noun	Singikpak Pt. site east of Southwest Cape on St. Lawrence Is.	see Map 4 in Appendices
Aasaq	proper noun	former village site west of Cape Chukotskii in Chukotka	see Map 2 in Appendices
aasi	noun root	the number six (in a counting or finger naming jingle for children)	"the entire jingle is: aatati, pututati, aanqaghreki, tekiina, kumlu, aasi, taawra, qilughru, milughru, qughru 'one, two, three, four, five, six, seven, eight, nine, ten'"
aaskestaaghhaq	noun root	narrow thing; something that does not extend far	"Aaskestaaghhaanghani kiyang malghugneghet piiqiit, … ‘Whenever it [the sea ice] did not extend far out they always made two [boat paths], …’ (SIVUQ. NANGAGH. 1:134)"
aasliigh-	verb root	to patch a skin boat	aasliightuq ‘he patched a boat’; aasliighaa ‘he patched it’ /
aasliq	noun root	soup of greens and seal blood	No information given.
Aasliq	proper noun	former village on east shore of Provideniia Bay; Plover Bay in Chukotka	see Map 2 in Appendices
aasliquutaq	noun root	grease stain in the entrance opening of a winter house	Chukotkan (R)
aastu-	verb root	to be wide; to extend far	"aastuuq ‘it is wide, extends far; Aastughllagyalghii, kilgaaquteghllagaqelghiit, kiyang whanikumi. ‘It was extended farther, as far as long distance runners were concerned, then than now.’ (SIVUQ. NANGAGH. 1:20); Aamta tuvalgunghani tawaten ataasiinaat kenilghet seggaqiit, qayughllak ilangakun tuvaq aastaaqelghii. ‘And, whenever it had shore ice like that they made but one boat path, because the shore ice extended a long way out.’ (SIVUQ. NANGAGH. 1:134)"
aataararay	particle	yuck!	expression of disgust or fright
aatak	particle	do it anyway; give it a try; let's	used to boost morale; Seghleghunaqukut, yulgutmun kaatngwaaghluta tusaqunneghitem seghletun pinaqukut, aatak qitevunnaqigu! ‘Things are going poorly for us, and now that we have come across a fellow human, because we can’t understand each other we have a problem; give it a try, speak to him in the other language!’ (SIVUQ. NANGAGH. 2:124); Aatak naghuyaqellaankuk meteghlluglliqellaankuk piiqagka. ‘(I’ll) give at a try,  I am trying to talk to the seagull and the raven.’ (UNGIPAGHAGH. 109)"
aatakqun	particle	do it anyway; give it a try; let's	
aataqun	particle	do it anyway; give it a try; let's	used to boost morale;  = aatakqun
aatati	noun root	the number ‘one’ (in a counting or finger naming jingle for children)	"cf. ataasiq; the entire jingle is: aatati, pututati, aanqaghreki, tekiina, kumlu, aasi, taawra, qilughru, milughru, qughru 'one, two, three, four, five, six, seven, eight, nine, ten'"
aatawleginaq	particle	for nothing; after all; because	aatawleginaq mughusimaaq, sakengaghsimangituq ‘he went hunting for nothing, he didn’t get anything’; unangataghalluku tagilghaaten aatawleginaq  neghsaghhnaanghituten, ayveghaghnaanghituten ‘come early in the morning, otherwise you won’t get seals or walrus’"
aate-	verb root	to put on (clothes); to dress	aatuq ‘it put something on’; aataa ‘he put it on’ / aalluku ‘after putting it on’; aalleqaa ‘he will put it on’; aannaqaa ‘he is going to put it on’; aatkaagaa or aaskaagaa ‘he has put it on’; aasuwaaghaa ‘he feels like wearing it’;
aateghngalghii	noun root	loaded; put on	Chukotkan (R); questioned
aatghute-	verb root	to go out hunting on foot on the ice	sikuk kaanneghegkeni yuget aatghutaqelghiit ‘men go out hunting (on foot) once the ocean ice arrives’
aatkaq	noun root	article of clothing; garment	No information given.
aatneq	noun root	slope near the beach; small portion of land extending out into the water	No information given.
aatqaghtagh-	verb root	to suddenly and quickly go out (as from room)	No information given.
aatqaghte-	verb root	to slip or jerk when working with something by hand; to run off the road; to deviate from the desired path	aatqaghtuq ‘he or it jerked’; aatqaghtaa ‘he jerked it’/ tumeneng aatqaghtuq ‘he ran off the road’; terelleghmeng piineqegkani aatqaghtaa ‘he painted off the marked line’
aatwarae	noun root	hot water	#NAME?
aavgaghte-	verb root	to split open suddenly; to get injured severely on the surface of one’s body	No information given.
aavgugh-	verb root	to cut up thoroughly	No information given.
aavneq	noun root	half; half dollar	No information given.
aavnguq	noun root	burl	No information given.
aavngutae	noun root	sealskin pants	"used in the dual, aavngutek for one pair of pants"
aaw-	verb root	to bleed; to menstruate	see also aakw ‘blood’
aawaallu	particle	so soon!; already	= aawallu
aawallu	particle	so soon!; already	= aawaallu
aawhkagh-	verb root	for spring to come	aawhkaghtuq or aawhkaghaa ‘spring has come’ / cf. awa(ni)
aawhkaghhaaneng	particle	for ages (in the past); for quite a while now	
aawhkaghniimna	noun root	previous place; former one	Chukotkan (R)
aawhkaghniq*	noun root	hing of a while ago	#NAME?
aawhkaghtaq	noun root	thing of a while ago	= aawhkaghniq*
aawhkan	particle	a while ago (during the same season); a week ago; a month ago	
aawhkaqun	particle	in the springtime	
aawhkayaghaq	particle	some time ago; a while back	
aawhtaq	noun root	jade	No information given.
aawhtu-	verb root	to be bloody	aawhtuuq ‘it is bloody’ / aawhtuqaq ‘a bloody thing’
aawhtuqe-	verb root	to bleed	aawhtuquq ‘it is bleeding’ /
aawiite-	verb root	to lose blood	No information given.
aawite-	verb root	to be bloodless	aawituq ‘it is bloodless ‘; cf. aangwunani ‘being without blood’ (irregular variant of aawinaan or aawunaan)
aawyaq	noun root	blood clot	No information given.
aaygu	noun root	arrow	No information given.
aayguk	noun root	"pair of stars seen at dawn, Altair and Tarared in the constellation of the Eagle"	No information given.
aayiiq tanem	noun root	preliminary incantation; call to a certain spirit	"Chukotkan (R); literally, ‘aayiiq, once again’ (aayiiq is a name of a certain spirit, a tughneghaq)"
aaykagh-	verb root	to gamble	aaykaghtuq ‘he is gambling’; y preceding k questioned
aaykaq	noun root	poker or similar card game; gambling	y preceding k is unusual
afkuyaq	noun root	cause of something (especially a problem)	"ullghitagma afkuyaa naalkaghtaqa ‘I found the cause of the problem with my wheeled/tracked vehicle’; Naghullgaqluki, pakin'gumakanga nagun iqelqwakun itegaakun, taawa taana tuqusiqaa, pakinellgha qazigyaghaam. Aatgha Anaqsi, Sikneghnii. Afkuyaghhaan. ‘While he was harpooning them, it scratched him somewhere on his little toe, and that’s what killed him, the scratch of a seal. … That was all it took.’ (SIVUQ. NANGAGH. 3:22)"
aflaaghaghte-	verb root	to interrupt	No information given.
aflaaq	noun root	thing between two others; middle one	No information given.
aflenga-	verb root	to be thrifty; to take good care of one’s things	"aflengaaq ‘he is thrifty’, ‘he takes care of his things’ /"
aflengake-	verb root	to take care of (valued possession or person); to keep	aflengakaa ‘he is taking care of it’ / Qikmiqa ataasiq tuunluku maalghuk aflengakagka.’ I gave away one of my dogs and kept two.’ (SLI JR. DICT. 8)
aflenganeq	noun root	thrifty person; one who takes good care of what he has	aflenganghuuq ‘he’s a person who takes good care of what he has’
aflu	noun root	the span from one thing to another (as from one hour to the next); thing between two others (as a child born between two others)	Estamat aflut piyugutkanka. ‘I walked for four hours.’ (SLI JR. DICT. 132)
aflute-	verb root	to feel sorry for; to sympathize with	Chukotkan (R)
afsengaghpak	noun root	muskrat (Ondata zibethicus); beaver (Castor canadensis)	Chukotkan
afsengaghqe-	verb root	for there to be the squeaking sound of a mouse	"afsengaghquq ‘there’s a squeaking, mouse sound’"
afsengaq*	noun root	vole (Microtus sp. ); locally mouse; also slang for lump of dried nasal mucus	No information given.
afta-	verb root	to cut up game; to butcher game; to have surgery (additional Chukotkan meaning)	aftaaq ‘he butchered an animal’; aftaa ‘he butchered it’ /
aga	particle	away; gone; there	this is the interjectional form of the demo. adverb aga(ni) from demo. pronoun aagna(q.v.); Amaaghllak aga estunaquq. ‘There he goes, the wolf is about to slide.’  (AYUM. UNGIP. I:7)"
agaavik	noun root	double hook used to fasten caught walrus to side of boat	Chukotkan (R)
agagh-	postural root	hanging	agaghtuq ‘it got hung, snagged’; agaghtaa ‘he hung it up’; agaghngaaq ‘it is hanging’; agaghfik ‘place to hang things’"
agaghfikutaq	noun root	clothes hanger; clothespin; peg for hanging things; hook for hanging things	No information given.
agaghtiiraagh-	verb root	to hang; to be hanging	Chukotkan (R)
agaghtusiq	noun root	clothes hanger; clothespin; peg for hanging things; hook for hanging things	No information given.
agaghugllaka	particle	"oh, what a pity!"	
agalghu-	verb root	to stagger	agalghuuq ‘he staggered’ / agalghwaaghtuq ‘he keeps staggering as he walks’
agalqutaq	noun root	peg for hanging things; hook for hanging things	No information given.
agam	particle	"okay, that’s enough"	
agangsitagh-	verb root	to stay away	"agangsitaghtuq ‘he, or it, it staying away’ / kayut saamkut agangsitaghtat nalleq? ‘why are the fish down there staying away?’"
agaqraq	noun root	peg for hanging things; hook for hanging things	No information given.
agaten	particle	must be the case; unenthusiastic	
agatu	noun root	type of kelp (Agarum cribrosum)	No information given.
agenriqe-	verb root	to think carefully about something	agenriquq ‘he thought carefully’; agenriqaqulluku pegnem ayveq qaakaghput ‘after we thought carefully about it we finally pulled the walrus out’
agepsugh-	verb root	to be smoky	agepsughtuq ‘it is smoky’ / agepsughtaa ‘it is getting smoky’
agepsuq	noun root	smoke; steam	agepsughtuuq ‘there's a lot of smoke’; agepsughtaaghtuq ‘it has smoke coming out of it’
agesngughte-	verb root	to kill instantly (especally by hitting on bridge of nose); to knock out (?)	agesngughtaa ‘he killed it instantly’/ ayveq agesngughlluku tuqutaa ‘he killed the walrus instantly (by hitting it on the bridge of the nose)’
agesta	particle	sh-sh; hush!	
agghi	noun root	conference	No information given.
agghi-	verb root	to confer; to decide	"agghiiq ‘he decided’/ agghiit ‘they are conferring, deciding on something’; agghitkaa ‘he decided concerning it, figured it out’; agghiiq igleghhnaluni ‘he decided to go’"
agghista	noun root	commander	No information given.
agghiyugniqe-	verb root	to be spoiled; to be obstinate	cf. agghi; mekelghiighhaq agghiyugniquq ghhuuteghngaatni wata an’gighnaluni ‘the little boy tried to have his way and stay outdoors even though it was cold’
agha	noun root	amulet; medicine; aspirin	No information given.
aghaligh-	verb root	to treat with medicine; to medicate; to put on an amulet	aghalightuq ‘he took medicine or put on an amulet’; aghalighaa ‘he gave her medicine or put an amulet on her’/
aghallegtaq	noun root	doctor	No information given.
aghanghuuraq	noun root	amulet attached on to belt or clothing;  medicinal plant sewn on to animal skin and attached to one’s belt	Chukotkan (R)
aghavaghllak	noun root	clear weather	No information given.
aghavraq	noun root	Alaska poppy (Papaver alaskanum)	No information given.
aghelqute-	verb root	to move a little (of something heavy and/or tight); to budge	"aghelqutuq ‘it moved a little, it budged’; aghelqutaa ‘he moved it a little, he budged it’/"
aghenqigneq	noun root	right-hand side	aghenqigneghmun ‘to the right’
aghevestaaghaq*	noun root	soft thing; person who is weak-willed and easily influenced	qenu meghmelnguq aghevestaaghhaaguq ‘the new ice in the ocean is soft’
aghevestaaq	noun root	soft thing; person who is weak-willed and easily influenced	anigu qaga aghevestaapiguuq ifkanghhaaluni ‘the newly fallen snow out there is very soft’; aghevestaaq ugharra piyullginnapigtuq ‘the soft marsh is hard to walk on’
aghhmagte-	verb root	to take all; to use all	aghhmagtaa ‘he took or used all of it’ /
aghhmeghneq	noun root	firmness; sturdiness	aghhmeghneqegtaq ‘a sturdy skin or piece of clothing’
aghhunneghagu	particle	every day	
aghhutanga tamaghhaan	noun root	every day	"literally, ‘its becoming day, every one’; Aghhutanga tamaghhaan takwaaqiit. ‘Every day they would check it.’ (PIYAA. 14)"
aghhutkun	particle	at dawn	aghhutkun esla naavuq ‘the weather got bad at dawn’
aghi-	verb root	to be wet	aghiiq or aghii ‘it got wet’ / cf. aghilluk
aghiknaq	noun root	“prickly” sculpin	exact species undetermined
aghilluk	noun root	skin mitten; glove	Chukotkan; cf. aghi-
aghinaq	noun root	moisture outdoors; wet weather	No information given.
aghinghwaaq	noun root	small bag of sealskin holding certain articles used to try to ensure good whale hunting	No information given.
aghinqagh-	verb root	to wet	Chukotkan (V&E)
aghipa	noun root	wetness; moisture	No information given.
aghipate-	verb root	to be wet; to be raw	"aghipatuq ‘it is wet’, ‘it is raw’ /"
aghipsaate-	verb root	to be partly wet; to be partially raw	aghipsaalnguq ‘partially wet or raw thing’
aghisigh-	verb root	to soak	aghisightuq ‘it is being soaked or he is letting himself get wet’; aghisighaa ‘he is soaking it’ /
aghitqe-	verb root	to get very wet	aghitquq ‘he or it got very wet’; aghitqaa ‘he got it very wet’ /
aghiva-	verb root	to quarrel (of women); to bawl out (by women)	"aghivaaq ‘she is quarreling with someone, bawling out someone’; aghivaa ‘she is quarreling with her’ / aghivatuk ‘they (two women) are quarreling’"
